Host,Virus
HM134917.1_Rhinolophus-sinicus,DQ022305
JX502551.1_Rhinolophus-pearsonii,DQ071615
HM134917.1_Rhinolophus-sinicus,DQ084199
HM134917.1_Rhinolophus-sinicus,DQ084200
KX261916.1_Rhinolophus-macrotis,DQ412043
KX261916.1_Rhinolophus-macrotis,DQ648857
ON640722.1_Tylonycteris-pachypus,EF065505
AB085739.2_Pipistrellus-abramus,EF065509 
HM134917.1_Rhinolophus-sinicus,EF203065 
MN366288.1_Miniopterus-pusillus,EU420137 
ON640726.1_Miniopterus-magnater,EU420138 
MN366288.1_Miniopterus-pusillus,EU420139 
HM134917.1_Rhinolophus-sinicus,FJ588686
HM134917.1_Rhinolophus-sinicus,GQ153539
HM134917.1_Rhinolophus-sinicus,GQ153540
HM134917.1_Rhinolophus-sinicus,GQ153541
HM134917.1_Rhinolophus-sinicus,GQ153542
HM134917.1_Rhinolophus-sinicus,GQ153543
HM134917.1_Rhinolophus-sinicus,GQ153544
HM134917.1_Rhinolophus-sinicus,GQ153545
HM134917.1_Rhinolophus-sinicus,GQ153546
HM134917.1_Rhinolophus-sinicus,GQ153547
HM134917.1_Rhinolophus-sinicus,GQ153548
MZ936290.1_Rhinolophus-blasii,GU190215
ON012504.1_Rhinolophus-pusillus,JX993987
ON640662.1_Chaerephon-plicatus,JX993988
HM134917.1_Rhinolophus-sinicus,KC881005
HM134917.1_Rhinolophus-sinicus,KC881006
HM134917.1_Rhinolophus-sinicus,KF367457
KP972690.1_Rhinolophus-affinis,KF569996
OP894116.1_Hipposideros-pratti,KF636752
AB085735.1_Miniopterus-fuliginosus,KJ473795
AB085735.1_Miniopterus-fuliginosus,KJ473796
AB085735.1_Miniopterus-fuliginosus,KJ473797
AB085735.1_Miniopterus-fuliginosus,KJ473798
AB085735.1_Miniopterus-fuliginosus,KJ473799
AB085735.1_Miniopterus-fuliginosus,KJ473800
AB106608.1_Myotis-ricketti,KJ473806
AB085731.1_Rhinolophus-ferrumequinum,KJ473807
AB085731.1_Rhinolophus-ferrumequinum,KJ473808
AB085731.1_Rhinolophus-ferrumequinum,KJ473811
AB085731.1_Rhinolophus-ferrumequinum,KJ473812
AB085731.1_Rhinolophus-ferrumequinum,KJ473813
HM134917.1_Rhinolophus-sinicus,KJ473814
HM134917.1_Rhinolophus-sinicus,KJ473815
HM134917.1_Rhinolophus-sinicus,KJ473816
AB085739.2_Pipistrellus-abramus,KJ473820
AB085738.1_Vespertilio-superans,KJ473821
ON640722.1_Tylonycteris-pachypus,KJ473822
HM134917.1_Rhinolophus-sinicus,KT444582
ON012504.1_Rhinolophus-pusillus,KU973692
DQ888677.1_Aselliscus-stoliczkanus,KY417142
HM134917.1_Rhinolophus-sinicus,KY417143
HM134917.1_Rhinolophus-sinicus,KY417144
HM134917.1_Rhinolophus-sinicus,KY417146
HM134917.1_Rhinolophus-sinicus,KY417147
HM134917.1_Rhinolophus-sinicus,KY417148
HM134917.1_Rhinolophus-sinicus,KY417149
HM134917.1_Rhinolophus-sinicus,KY417150
HM134917.1_Rhinolophus-sinicus,KY417151
HM134917.1_Rhinolophus-sinicus,KY417152
HM134917.1_Rhinolophus-sinicus,KY770858
HM134917.1_Rhinolophus-sinicus,KY770859
HM134917.1_Rhinolophus-sinicus,MG772933
HM134917.1_Rhinolophus-sinicus,MG772934
KP972690.1_Rhinolophus-affinis,MK211376
KP972690.1_Rhinolophus-affinis,MK211377
KP972690.1_Rhinolophus-affinis,MN996532
MZ936290.1_Rhinolophus-blasii,NC_014470